,action_code,action_code_full,amendment_indicator,amendment_number,back_reference_schedule_name,back_reference_transaction_id,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_state,candidate_party,candidate_prefix,candidate_suffix,category_code,category_code_full,committee_id,conduit_committee_city,conduit_committee_id,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,dissemination_date,election_type,election_type_full,expenditure_amount,expenditure_date,expenditure_description,file_number,filer_first_name,filer_last_name,filer_middle_name,filer_prefix,filer_suffix,filing_date,filing_form,form_line_number,image_number,independent_sign_date,independent_sign_name,is_notice,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,most_recent,notary_commission_expiration_date,notary_sign_date,notary_sign_name,office_total_ytd,original_sub_id,payee_city,payee_first_name,payee_last_name,payee_middle_name,payee_name,payee_prefix,payee_state,payee_street_1,payee_street_2,payee_suffix,payee_zip,pdf_url,previous_file_number,report_type,report_year,schedule_type,schedule_type_full,sub_id,support_oppose_indicator,transaction_id,committee
11,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-02,G2022,,6736.5,2022-11-04 00:00:00,MAILER PRODUCTION,1685768,ROBERT,JENTGENS,,,TREASURER,2023-01-31,F3X,F3X-24,202301319575627022,2022-11-03,"JENTGENS, ROBERT TREASURER",False,24,4013120231721277912,,,,False,True,,,,520415.73,,MANDEVILLE,,,,PEOPLE WHO THINK,,LA,4522 LA-22,STE. 7,,22201,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575627022,1671431,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4020820231723598445,S,SE24.17200,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
12,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-02,G2022,,4413.12,2022-11-04 00:00:00,MAILER PRODUCTION LIBRE ACTION,1685768,ROBERT,JENTGENS,,,TREASURER,2023-01-31,F3X,F3X-24,202301319575627022,2022-11-03,"JENTGENS, ROBERT TREASURER",False,24,4013120231721277912,,,,False,True,,,,520415.73,,MANDEVILLE,,,,PEOPLE WHO THINK,,LA,4522 LA-22,STE. 7,,22201,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575627022,1671431,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4020820231723598444,S,SE24.17198,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
13,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-10-31,G2022,,4413.12,2022-11-04 00:00:00,MAILER PRODUCTION LIBRE ACTION,1685768,ROBERT,JENTGENS,,,TREASURER,2023-01-31,F3X,F3X-24,202301319575627021,2022-11-01,"JENTGENS, ROBERT TREASURER",False,24,4013120231721277912,,,,False,True,,,,520415.73,,MANDEVILLE,,,,PEOPLE WHO THINK,,LA,4522 LA-22,STE. 7,,22201,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575627021,1671431,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4020820231723598442,S,SE24.17091,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
14,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-10-31,G2022,,6736.5,2022-11-04 00:00:00,MAILER PRODUCTION,1685768,ROBERT,JENTGENS,,,TREASURER,2023-01-31,F3X,F3X-24,202301319575627020,2022-11-01,"JENTGENS, ROBERT TREASURER",False,24,4013120231721277912,,,,False,True,,,,520415.73,,MANDEVILLE,,,,PEOPLE WHO THINK,,LA,4522 LA-22,STE. 7,,22201,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575627020,1671431,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4020820231723598441,S,SE24.17089,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
15,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-02,G2022,,2370.78,2022-11-02 00:00:00,MAILER POSTAGE LIBRE ACTION,1659030,ROBERT,JENTGENS,,,TREASURER,2022-11-03,F24,F24-24,202211039546707519,2022-11-03,"JENTGENS, ROBERT TREASURER",True,24,4110420221604923050,,,,False,True,,,,505415.73,,WASHINGTON,,,,UNITED STATES POSTAL SERVICE,,DC,470 L'ENFANT PLAZA SW,STE 604,,20024,https://docquery.fec.gov/cgi-bin/fecimg/?202211039546707519,1659030,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110420221605665173,S,SE24.17199,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
16,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-02,G2022,,6293.89,2022-11-02 00:00:00,MAILER POSTAGE,1659030,ROBERT,JENTGENS,,,TREASURER,2022-11-03,F24,F24-24,202211039546707518,2022-11-03,"JENTGENS, ROBERT TREASURER",True,24,4110420221604923050,,,,False,True,,,,505415.73,,WASHINGTON,,,,UNITED STATES POSTAL SERVICE,,DC,470 L'ENFANT PLAZA SW,STE 604,,20024,https://docquery.fec.gov/cgi-bin/fecimg/?202211039546707518,1659030,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110420221605665172,S,SE24.17201,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
17,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-02,G2022,,6736.5,2022-11-02 00:00:00,MAILER PRODUCTION,1659030,ROBERT,JENTGENS,,,TREASURER,2022-11-03,F24,F24-24,202211039546707510,2022-11-03,"JENTGENS, ROBERT TREASURER",True,24,4110420221604923050,,,,False,True,,,,505415.73,,MANDEVILLE,,,,PEOPLE WHO THINK,,LA,4522 LA-22,STE. 7,,70471,https://docquery.fec.gov/cgi-bin/fecimg/?202211039546707510,1659030,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110420221605665155,S,SE24.17200,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
18,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-02,G2022,,4413.12,2022-11-02 00:00:00,MAILER PRODUCTION LIBRE ACTION,1659030,ROBERT,JENTGENS,,,TREASURER,2022-11-03,F24,F24-24,202211039546707509,2022-11-03,"JENTGENS, ROBERT TREASURER",True,24,4110420221604923050,,,,False,True,,,,505415.73,,MANDEVILLE,,,,PEOPLE WHO THINK,,LA,4522 LA-22,STE. 7,,70471,https://docquery.fec.gov/cgi-bin/fecimg/?202211039546707509,1659030,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110420221605665154,S,SE24.17198,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
19,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,,,C00499020,,,,,,,,2022-11-02,G2022,,764.49,2022-11-02 00:00:00,PEER-TO-PEER TEXT MESSAGING,1658518,CHRIS,MARSTON,,,,2022-11-03,F24,F24-24,202211039546701700,2022-11-02,"MARSTON, CHRIS",True,24,4110320221604316084,,,,False,True,,,,893.99,,WASHINGTON,,,,RUMBLE UP,,DC,2101 L STREET NORTHWEST,,,20037,https://docquery.fec.gov/cgi-bin/fecimg/?202211039546701700,1658518,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110320221604883516,S,SE24.5292,FREEDOMWORKS FOR AMERICA
20,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,,,C00499020,,,,,,,,2022-11-02,G2022,,764.49,2022-11-02 00:00:00,PEER-TO-PEER TEXT MESSAGING,1700916,CHRIS,MARSTON,,,,2023-04-18,F3X,F3X-24,202304189581040631,2022-11-02,"MARSTON, CHRIS",False,24,4041920231743076007,,,,False,True,,,,893.99,,WASHINGTON,,,,RUMBLE UP,,DC,2101 L STREET NORTHWEST,,,20037,https://docquery.fec.gov/cgi-bin/fecimg/?202304189581040631,1692749,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4041920231743306235,S,SE24.5292,FREEDOMWORKS FOR AMERICA
21,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-02,G2022,,6293.89,2022-11-02 00:00:00,MAILER POSTAGE,1685768,ROBERT,JENTGENS,,,TREASURER,2023-01-31,F3X,F3X-24,202301319575627194,2022-11-03,"JENTGENS, ROBERT TREASURER",False,24,4013120231721277912,,,,False,True,,,,520415.73,,WASHINGTON,,,,UNITED STATES POSTAL SERVICE,,DC,470 L'ENFANT PLAZA SW,STE 604,,20024,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575627194,1671431,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4020820231723598789,S,SE24.17201,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
22,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-02,G2022,,2370.78,2022-11-02 00:00:00,MAILER POSTAGE LIBRE ACTION,1685768,ROBERT,JENTGENS,,,TREASURER,2023-01-31,F3X,F3X-24,202301319575627193,2022-11-03,"JENTGENS, ROBERT TREASURER",False,24,4013120231721277912,,,,False,True,,,,520415.73,,WASHINGTON,,,,UNITED STATES POSTAL SERVICE,,DC,470 L'ENFANT PLAZA SW,STE 604,,20024,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575627193,1671431,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4020820231723598787,S,SE24.17199,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
23,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00754218,,C00754218,,,,,,2022-11-02,G2022,,4.46,2022-11-02 00:00:00,MASS EMAIL,1673376,JOE,POJMAN,,,,2022-12-26,F3X,F3X-24,202212269574221915,2022-12-26,"POJMAN, JOE",False,24,4122620221644966009,,,,False,True,,,,23.92,,AUSTIN,,,,"TEXAS ALLIANCE FOR LIFE, INC",,TX,8000 CENTRE PARK DR,STE 380,,78754,https://docquery.fec.gov/cgi-bin/fecimg/?202212269574221915,1673376,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4011820231709101768,S,SE.5089,TEXAS ALLIANCE FOR LIFE FED PAC
24,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-01,G2022,,10500.0,2022-11-01 00:00:00,CANVASSING,1658350,ROBERT,JENTGENS,,,TREASURER,2022-11-02,F24,F24-24,202211029546700814,2022-11-02,"JENTGENS, ROBERT TREASURER",True,24,4110320221604316049,,,,False,True,,,,485601.44,,DENVER,,,,TALENTWAVE INC.,,CO,4601 DTC BLVD.,STE 650,,80237,https://docquery.fec.gov/cgi-bin/fecimg/?202211029546700814,1658350,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110320221604883206,S,SE24.17169,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
25,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-01,G2022,,918.23,2022-11-01 00:00:00,CANVASSING,1658350,ROBERT,JENTGENS,,,TREASURER,2022-11-02,F24,F24-24,202211029546700804,2022-11-02,"JENTGENS, ROBERT TREASURER",True,24,4110320221604316049,,,,False,True,,,,485601.44,,ARLINGTON,,,,AMERICANS FOR PROSPERITY,,VA,1310 N. COURTHOUSE RD.,STE. 700,,22201,https://docquery.fec.gov/cgi-bin/fecimg/?202211029546700804,1658350,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110320221604883187,S,SE24.17150,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
26,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-01,G2022,,10500.0,2022-11-01 00:00:00,CANVASSING,1685768,ROBERT,JENTGENS,,,TREASURER,2023-01-31,F3X,F3X-24,202301319575627077,2022-11-02,"JENTGENS, ROBERT TREASURER",False,24,4013120231721277912,,,,False,True,,,,520415.73,,DENVER,,,,TALENTWAVE,,CO,4601 DTC BLVD.,STE.650,,80237,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575627077,1671431,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4020820231723598555,S,SE24.17169,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
27,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-10-31,G2022,,2370.78,2022-10-31 00:00:00,MAILER POSTAGE LIBRE ACTION,1657774,ROBERT,JENTGENS,,,TREASURER,2022-11-01,F24,F24-24,202211019546697385,2022-11-01,"JENTGENS, ROBERT TREASURER",True,24,4110220221604061019,,,,False,True,,,,474183.21,,WASHINGTON,,,,UNITED STATES POSTAL SERVICE,,DC,470 L'ENFANT PLAZA SW,STE 604,,20024,https://docquery.fec.gov/cgi-bin/fecimg/?202211019546697385,1657774,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110220221604274155,S,SE24.17092,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
28,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-10-31,G2022,,4413.12,2022-10-31 00:00:00,MAILER PRODUCTION LIBRE ACTION,1657774,ROBERT,JENTGENS,,,TREASURER,2022-11-01,F24,F24-24,202211019546697384,2022-11-01,"JENTGENS, ROBERT TREASURER",True,24,4110220221604061019,,,,False,True,,,,474183.21,,MANDEVILLE,,,,PEOPLE WHO THINK,,LA,4522 LA-22,STE. 7,,70471,https://docquery.fec.gov/cgi-bin/fecimg/?202211019546697384,1657774,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110220221604274154,S,SE24.17091,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
29,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-10-31,G2022,,6293.89,2022-10-31 00:00:00,MAILER POSTAGE,1657774,ROBERT,JENTGENS,,,TREASURER,2022-11-01,F24,F24-24,202211019546697384,2022-11-01,"JENTGENS, ROBERT TREASURER",True,24,4110220221604061019,,,,False,True,,,,474183.21,,WASHINGTON,,,,UNITED STATES POSTAL SERVICE,,DC,470 L'ENFANT PLAZA SW,STE 604,,20024,https://docquery.fec.gov/cgi-bin/fecimg/?202211019546697384,1657774,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110220221604274153,S,SE24.17090,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
30,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-10-31,G2022,,6736.5,2022-10-31 00:00:00,MAILER PRODUCTION,1657774,ROBERT,JENTGENS,,,TREASURER,2022-11-01,F24,F24-24,202211019546697383,2022-11-01,"JENTGENS, ROBERT TREASURER",True,24,4110220221604061019,,,,False,True,,,,474183.21,,MANDEVILLE,,,,PEOPLE WHO THINK,,LA,4522 LA-22,STE. 7,,70471,https://docquery.fec.gov/cgi-bin/fecimg/?202211019546697383,1657774,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110220221604274152,S,SE24.17089,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
